395,601618,中国中冶
396,601616,广电电气
397,601611,中国核建
398,601608,中信重工
399,601607,上海医药
400,601601,中国太保
401,601600,中国铝业
402,601599,鹿港文化
403,601595,上海电影
404,601588,北辰实业
405,601579,会稽山
406,601567,三星医疗
407,601566,九牧王
408,601555,东吴证券
409,601518,吉林高速
410,601515,东风股份
411,601500,通用股份
412,601398,工商银行
413,601390,中国中铁
414,601388,怡球资源
415,601377,兴业证券
416,601375,中原证券
417,601369,陕鼓动力
418,601368,XD绿城水
419,601366,利群股份
420,601339,百隆东方
421,601336,新华保险
422,601333,广深铁路
423,601328,交通银行
424,601318,中国平安
425,601313,江南嘉捷
426,601311,骆驼股份
427,601288,农业银行
428,601258,庞大集团
429,601238,广汽集团
430,601233,桐昆股份
431,601231,环旭电子
432,601229,上海银行
433,601228,广州港
434,601226,华电重工
435,601225,陕西煤业
436,601222,林洋能源
437,601218,吉鑫科技
438,601216,君正集团
439,601212,白银有色
440,601211,国泰君安
441,601208,东材科技
442,601200,上海环境
443,601199,江南水务
444,601198,东兴证券
445,601188,龙江交通
446,601186,XD中国铁
447,601179,中国西电
448,601177,杭齿前进
449,601169,北京银行
450,601168,西部矿业
451,601166,兴业银行
452,601163,三角轮胎
453,601158,重庆水务
454,601155,新城控股
455,601139,深圳燃气
456,601137,博威合金
457,601128,常熟银行
458,601127,小康股份
459,601126,四方股份
460,601118,海南橡胶
461,601117,中国化学
462,601116,三江购物
463,601113,华鼎股份
464,601111,中国国航
465,601107,四川成渝
466,601101,昊华能源
467,601100,恒立液压
468,601099,太平洋
469,601098,中南传媒
470,601088,中国神华
471,601069,西部黄金
472,601058,赛轮金宇
473,601038,一拖股份
474,601028,玉龙股份
475,601021,春秋航空
476,601020,华钰矿业
477,601018,宁波港
478,601016,节能风电
479,601015,陕西黑猫
480,601012,隆基股份
481,601011,宝泰隆
482,601010,文峰股份
483,601009,南京银行
484,601008,连云港
485,601007,金陵饭店
486,601006,大秦铁路
487,601003,XD柳钢股
488,601002,晋亿实业
489,601001,大同煤业
490,601000,唐山港
491,600999,招商证券
492,600998,九州通
493,600997,开滦股份
494,600996,贵广网络
495,600995,文山电力
496,600993,马应龙
497,600992,贵绳股份
498,600990,四创电子
499,600988,赤峰黄金
500,600987,航民股份
501,600986,科达股份
502,600985,雷鸣科化
503,600984,建设机械
504,600983,惠而浦
505,600982,宁波热电
506,600981,汇鸿集团
507,600980,北矿科技
508,600979,广安爱众
509,600978,宜华生活
510,600977,中国电影
511,600976,健民集团
512,600975,新五丰
513,600973,宝胜股份
514,600971,恒源煤电
515,600970,中材国际
516,600969,郴电国际
517,600967,内蒙一机
518,600966,博汇纸业
519,600965,福成股份
520,600963,岳阳林纸
521,600962,国投中鲁
522,600961,株冶集团
523,600960,渤海活塞
524,600959,江苏有线
525,600958,东方证券
526,600939,重庆建工
